theta (rad), max altitude (m), time to max (s)
1.5533430342749532,77911.98645694423,47.85280000046502
1.53588974175501,-9.809622172024936e-08,0.0001
1.5184364492350666,-9.808487759669687e-08,0.0001
1.5009831567151233,-9.80659397277963e-08,0.0001
1.48352986419518,-9.803936144838319e-08,0.0001
1.4660765716752366,-9.800507708425094e-08,0.0001
1.4486232791552933,-9.796300160545009e-08,0.0001
1.43116998663535,-9.79130301751515e-08,0.0001
1.4137166941154067,-9.785503758993673e-08,0.0001
1.3962634015954634,-9.778887760634252e-08,0.0001
1.37881010907552,-9.771438214737651e-08,0.0001
1.3613568165555767,-9.763136038152143e-08,0.0001
1.3439035240356334,-9.753959766543491e-08,0.0001
1.32645023151569,-9.743885434011232e-08,0.0001
1.3089969389957468,-9.73288643686873e-08,0.0001
1.2915436464758034,-9.72093338022687e-08,0.0001
1.2740903539558601,-9.707993905822696e-08,0.0001
1.2566370614359168,-9.69403249931077e-08,0.0001
1.2391837689159735,-9.679010274982595e-08,0.0001
1.2217304763960302,-9.662884735593226e-08,0.0001
1.2042771838760868,-9.645609504648509e-08,0.0001
1.1868238913561435,-9.627134028134495e-08,0.0001
1.1693705988362002,-9.607403242244986e-08,0.0001
1.1519173063162569,-9.586357203174173e-08,0.0001
1.1344640137963136,-9.563930674478482e-08,0.0001
1.1170107212763702,-9.54005266686175e-08,0.0001
1.099557428756427,-9.514645924485461e-08,0.0001
1.0821041362364836,-9.48762635103246e-08,0.0001
1.0646508437165403,-9.458902367736288e-08,0.0001
1.047197551196597,-9.428374194402477e-08,0.0001
1.0297442586766536,-9.395933043060951e-08,0.0001
1.0122909661567103,-9.361460212261291e-08,0.0001
0.994837673636767,-9.32482606810844e-08,0.0001
0.9773843811168237,-9.28588889587822e-08,0.0001
0.9599310885968804,-9.244493603380474e-08,0.0001
0.942477796076937,-9.200470254067487e-08,0.0001
0.9250245035569937,-9.153632404111792e-08,0.0001
0.9075712110370504,-9.103775213171639e-08,0.0001
0.8901179185171071,-9.050673293163961e-08,0.0001
0.8726646259971638,-8.994078252875156e-08,0.0001
0.8552113334772204,-8.933715888410602e-08,0.0001
0.8377580409572771,-8.869282960003621e-08,0.0001
0.8203047484373338,-8.800443484180896e-08,0.0001
0.8028514559173905,-8.726824456218201e-08,0.0001
0.7853981633974472,-8.64801090058617e-08,0.0001
0.7679448708775038,-8.56354012587452e-08,0.0001
0.7504915783575605,-8.472895034457809e-08,0.0001
0.7330382858376172,-8.375496304588082e-08,0.0001
0.7155849933176739,-8.270693221929654e-08,0.0001
0.6981317007977306,-8.157752886514896e-08,0.0001
0.6806784082777873,-8.03584745670544e-08,0.0001
0.6632251157578439,-7.904039010028986e-08,0.0001
0.6457718232379006,-7.761261496444297e-08,0.0001
0.6283185307179573,-7.606299125568037e-08,0.0001
0.610865238198014,-7.437760356067086e-08,0.0001
0.5934119456780707,-7.254046429661422e-08,0.0001
0.5759586531581273,-7.053313095934504e-08,0.0001
0.558505360638184,-6.8334237823144e-08,0.0001
0.5410520681182407,-6.591891940956429e-08,0.0001
0.5235987755982974,-6.325809600906534e-08,0.0001
0.506145483078354,-6.031758198298577e-08,0.0001
0.48869219055841073,-5.705696445659931e-08,0.0001
0.4712388980384674,-5.3428181812510096e-08,0.0001
0.4537856055185241,-4.937370583851733e-08,0.0001
0.4363323129985808,-4.4824195048300324e-08,0.0001
0.41887902047863745,-3.9695434318941996e-08,0.0001
0.40142572795869413,-3.388429937153172e-08,0.0001
0.3839724354387508,-2.7263370718193786e-08,0.0001
0.3665191429188075,-1.9673649360566155e-08,0.0001
0.3490658503988642,-1.0914560687688582e-08,0.0001
0.33161255787892086,-7.300141331465682e-10,0.0001
0.31415926535897754,106792.22081458496,273.9891000028591
0.2967059728390342,111308.72779393142,242.56700000692885
0.2792526803190909,113963.87866065856,213.29090000595698
0.2617993877991476,115031.08539714743,186.07900000505364
0.24434609527920428,114624.5635341933,160.85620000421633
0.226892802759261,112761.00548761444,137.55370000344277
0.2094395102393177,109386.8519531886,116.10920000273089
0.1919862177193744,104390.29025520987,96.46570000207879
0.17453292519943112,97611.44255849619,78.57190000148478
0.15707963267948782,88854.50665831938,62.38150000094732
0.13962634015954453,77911.98645694756,47.85280000046502
0.12217304763960124,64616.50289599455,34.94910000003666
0.10471975511965795,48938.81627254665,23.63769999995825
0.08726646259971466,31205.36012293778,13.890399999980966
0.06981317007977136,12604.172640749352,5.683000000000094
0.05235987755982807,0,0
0.03490658503988478,0,0
